57;5566
625;3705
488;1629
1351;9334
2094;8121
972;4323
565;8719
3753;887
1897;3730
900;3811
1392;892
4141;2101
4921;2280
4738;7632
3438;2964
1972;3414
1055;8910
3623;7426
761;1496
3352;1797
3200;5849
1351;6158
1584;8650
1829;1052
4211;2399
4871;7513
524;8150
1966;3125
2262;5606
2756;7207
772;5769
3467;4311
2498;6119
3726;2809
1592;1974
4153;1584
3489;4677
896;2191
4487;7861
1633;4574
4740;42
1381;2685
4574;1071
216;7719
2290;4887
3889;5762
4524;2020
4608;2605
3019;7323
781;4226
2444;442
2783;7362
629;2034
2846;1848
4217;1160
2299;1966
3572;4395
2036;7792
1357;5902
2630;9459
2073;7861
3438;4125
3888;2619
101;485
1389;7921
2963;3034
1862;6479
4439;5554
1174;4316
2302;3678
475;1922
4187;294
2684;3017
392;2939
2588;3555
4215;3575
91;817
587;9733
363;2872
4172;5318
4132;8321
2390;4656
3306;6521
2330;1021
4785;9167
1467;298
4414;8821
4707;8035
4694;2483
236;8166
3119;777
1503;4010
1410;2804
1840;7519
1933;8617
1169;820
4382;1861
1006;8866
1162;7798
955;7216
1833;2997
4733;1660
3279;532
1548;6760
3390;8576
4856;8968
4530;8133
2229;5628
4395;5792
2070;6044
1924;2673
3946;5919
246;6660
2512;663
2369;5064
4010;1949
2026;633
3475;7528
4241;626
1544;1855
3917;2749
406;166
1558;8486
778;87
1735;2472
824;3578
701;7993
3560;3004
51;1638
3594;9446
2784;6624
4943;2187
4193;4369
689;8470
2176;1962
906;2006
1787;7945
4266;650
3581;7950
4492;942
2257;3850
1158;5374
1814;4077
436;1489
2341;6542
4211;2355
2717;1851
2164;6596
3071;7722
3660;652
16;5643
3320;2603
1652;267
2627;4470
4178;8507
809;5859
2872;7465
2601;3970
1524;5948
4539;5503
4649;5014
2469;8201
2592;6962
33;3577
1067;692
1689;5452
655;1467
1706;6558
4298;2422
4073;4152
4280;716
218;5972
252;4161
4074;8341
3723;9836
1545;6627
1039;1402
1645;8032
196;5905
916;9975
696;8411
767;9249
1402;9903
4130;2910
4832;3339
2810;6127
2289;1707
2221;7085
1185;5959
1259;3082
2065;3345
2764;6852
4505;6813
2286;2400
696;2270
4536;279
1772;172
1870;3521
2207;8135
4476;5200
204;6918
1901;4505
769;2745
373;2395
583;9575
4044;2352
2993;3114
4126;1315
2988;4481
1063;1039
331;76
1075;4861
729;8013
2487;3810
1728;6185
2242;818
3181;4415
3554;7539
791;436
4797;1079
3019;3649
2829;8294
3762;1084
2290;2793
1900;3505
2345;862
3112;6788
534;6891
47;1190
4800;6251
3263;1475
4526;1407
4205;7556
1860;7834
318;5865
316;4807
3859;2956
4792;5492
3682;7926
1162;9790
4633;7001
3217;7390
3077;4676
481;6361
2785;8443
3969;9541
2518;3936
4180;9808
4077;4006
96;8897
385;8386
1791;6595
4477;51
717;882
2001;4567
2145;1292
677;3648
2320;6483
3553;8760
2213;4668
2217;3221
1270;7809
4279;523
3713;9924
1777;2950
1431;1705
4300;4403
4236;3566
2307;4313
2032;2060
178;7628
2579;877
369;4119
2984;5657
3179;7510
3633;3546
3472;3705
4961;1496
156;2440
1925;1681
4161;576
3211;559
1481;662
2511;4062
631;9192
4739;5578
2971;1999
647;8150
2400;2115
3894;9758
798;47
2715;6849
3183;1451
2566;2508
3666;6233
603;7520
165;8745
3159;7584
4312;424
272;1957
4777;1598
2391;841
3506;6244
4999;9671
1489;5861
523;9042
2333;9213
2394;8578
3148;3296
4776;4452
2002;2169
4550;6337
580;7369
3631;5715
2817;1160
234;7945
681;328
3813;7327
775;9002
1128;9572
903;1111
4435;8873
90;7886
2792;6634
